Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$22,712.57",+$-937.97
Performance,Total_Return,136.51%,127.13%,+-9.38%
Performance,Annualized_Return,18.80%,17.84%,+-0.96%
Risk,Sharpe_Ratio,N/A,3.99,N/A
Risk,Max_Drawdown,N/A,-7.10%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,0.93x,-6.87%
Comparison,Excess_Return,0.00%,-9.38%,-9.38%
Comparison,Return_Ratio,1.00:1,0.93:1,N/A
