Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$16,579.35","+$-7,071.19"
Performance,Total_Return,136.51%,65.79%,+-70.71%
Performance,Annualized_Return,18.80%,10.65%,+-8.15%
Risk,Sharpe_Ratio,N/A,3.18,N/A
Risk,Max_Drawdown,N/A,-5.41%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.48x,-51.80%
Comparison,Excess_Return,0.00%,-70.71%,-70.71%
Comparison,Return_Ratio,1.00:1,0.48:1,N/A
