Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,629.06","+$-3,021.48"
Performance,Total_Return,136.51%,106.29%,+-30.21%
Performance,Annualized_Return,18.80%,15.59%,+-3.21%
Risk,Sharpe_Ratio,N/A,3.67,N/A
Risk,Max_Drawdown,N/A,-6.70%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,0.78x,-22.13%
Comparison,Excess_Return,0.00%,-30.21%,-30.21%
Comparison,Return_Ratio,1.00:1,0.78:1,N/A
